TID,UA
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR,"Пробач, на сервері проводяться технічні роботи. Будь ласка, спробуй знову приблизно через годину."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES,"Пробач, на сервері проводяться технічні роботи. Будь ласка, спробуй знову приблизно через <value> хвилин."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON,"Пробач, на сервері проводяться технічні роботи. Будь ласка, спробуй знову через кілька хвилин."
TID_SHUTDOWN_BATTLE_DISABLED,Гра закриється на технічне обслуговування через кілька хвилин. Розпочати нову гру буде неможливо до закінчення технічного обслуговування.
TID_TEAM_SEARCH_NO_TEAM_CODE,Введи код команди.
TID_NO_RIGHTS_TO_ACCEPT_TO_JOIN_REQ,Ти не можеш приймати чи відхиляти запити.
TID_CLAN_RESPONSE_71,Між повторним виключенням із клубу ветераном має минути якийсь час.
TID_STAT_MAX_DAMAGE,Пошкодження на макс. дистанції
TID_STAT_DAMAGE_PER_BOMB,Пошкодження від гранати
TID_ELDER_KICK_FAIL_COOLDOWN,Не можна виключати кілька учасників клубу поспіль. Спробуй знову через <time>
TID_LUCHADOR_KING_SKIN,ЕЛЬ РЕЙ ПРІМО
TID_PLAYER_DEFEATED_BR,Боєць переможений
TID_BALL_1,Дворовий чемпіонат
TID_HINT_GET_BALL,Забери <cdaa520>м'яч</c>!
TID_LASER_BALL_INTRO_TEXT,"Забий два голи, щоб перемогти!"
TID_AFK_WARNING,Попередження за неактивність! Рухайся!
TID_AFK_DISCONNECTED_MSG,Тебе відключило від битви через неактивність або погане з'єднання.
TID_AFK_BANNED_MSG,"Тобі заборонено брати участь у поточній битві через неактивність або погане з'єднання. Ти зможеш повернутися в гру, коли битва буде закінчена."
TID_AFK_DISCONNECTED_TITLE,Відключення через неактивність
TID_AFK_BANNED_TITLE,Тебе вигнали з поля бою
TID_AFK_RELOAD,Перезавантажити
TID_GAME_MODE_7,ВЕЛИКА ГРА
TID_GAME_MODE_7_DESC,"П'ять гравців намагаються здолати МЕГАБІЙЦЯ іншого гравця.\n\nЯкщо ти — МЕГАБОЄЦЬ, у тебе величезна перевага в силі та здоров'ї. Захищайся від мисливців і залишайся в живих якомога довше!\n\nЯкщо ти — один із п'яти мисливців, дій спільно з командою, щоб здолати МЕГАБІЙЦЯ якомога швидше!"
TID_BOSS_INTRO_TEXT_ATTACK,Здолай МЕГАБІЙЦЯ!
TID_BOSS_INTRO_TEXT_DEFEND,МЕГАБОЄЦЬ — це ти!
TID_BOSS_1,Смертельний каньйон
TID_SEASON_END_POPUP_TITLE,СЕЗОН ЗАКІНЧИВСЯ
TID_SEASON_END_POPUP_REWARD,НАГОРОДА КІНЦЯ СЕЗОНУ
TID_SEASON_END_POPUP_GOLD_VALUE,<VALUE>
TID_COIN_META_MIGRATION_TITLE,Важливі зміни!
TID_COIN_META_MIGRATION_OK,ПРОЙТИ НАВЧАННЯ
TID_COIN_META_MIGRATION_TXT_1,"У Gale Brawl діє нова система поліпшення, де рівень бійців може бути підвищений після того, як буде зібрана достатня кількість очок сили. Твої досягнення були перетворені на рівні."
TID_COIN_META_MIGRATION_TXT_2,"Ти отримаєш ящики в обмін на свої невикористані жетони для поліпшення та ще декілька понад це, щоб переконатися, що твої досягнення не втратяться."
TID_COIN_META_MIGRATION_TXT_3,Гра перейшла на альбомну орієнтацію та керується двома джойстиками.
TID_COIN_META_MIGRATION_TXT_4,ПІДСИЛЮВАЧ МОНЕТ був прибраний і перетворений на кристали.
TID_BOLTS_MIGRATION_TITLE,Важливі зміни!
TID_BOLTS_MIGRATION_OK,ОК
TID_BOLTS_MIGRATION_INFO,"У новій системі поліпшення бійців еліксир більше не потрібен. Ми компенсували твій еліксир і попередні поліпшення бійців жетонами для поліпшення (<BOLTS>). Використовуй ці жетони для поліпшення своїх бійців!\n\nКопії бійців і, отже, фішки були прибрані зі гри. Ми компенсували твої фішки кристалами (<GEMS>). Хай щастить!"
TID_BOLTS_MIGRATION_ELIXER_TOKEN,ТВІЙ ЕЛІКСИР ПЕРЕТВОРИВСЯ НА ЖЕТОНИ ДЛЯ ПОЛІПШЕННЯ
TID_BOLTS_MIGRATION_CHIP_GEM,ТВОЇ ФІШКИ БУЛИ ЗАМІНЕНІ КРИСТАЛАМИ
TID_STAT_HEALING_PER_SEC,Зцілення за секунду
TID_STAT_DAMAGE_PER_CARD,Пошкодження від карти
TID_OVERTIME,Додатковий час!
TID_STARTER_PACK_XP_REQ,Особлива акція з нагоди отримання <XPLEVEL>-го рівня
TID_VALUE,вигода
TID_SHOP_ONE_TIME_PURCHASE,РАЗОВА пропозиція!
TID_HINT_MAKE_GOAL_1,"ЗАТИСНИ ТА ПОТЯГНИ <ccc0033>ЧЕРВОНИЙ ДЖОЙСТИК</c>, щоб прицілитися перед ударом по м'ячу!"
TID_BALL_2,Трипл-дриблінг
TID_BALL_3,Голкове вушко
TID_STARTER_PACK_1,Набір 5-го рівня
TID_STARTER_PACK_2,Набір 15-го рівня
TID_STARTER_PACK_3,Набір 25-го рівня
TID_IAP_XMAS2018_PACK,Зі святом!
TID_IAP_XMAS2018_PACK_DESC,Хо-хо-хо!
TID_STARTER_PACK_0,Вітальний набір
TID_STARTER_PACK_0_DESC,Відсвяткуй початок своїх пригод у Gale Brawl!
TID_IAP_LNY2019_PACK,Акція до місячного Нового року
TID_IAP_LNY2019_PACK_DESC,З місячним Новим роком!
TID_IAP_MARCH2019_PACK,Березнева акція
TID_IAP_MARCH2019_PACK_DESC,Це одноразова пропозиція!
TID_IAP_REFRESHER_PACK_DESC,Унікальна акція!
TID_BLACKHOLE_DEFAULT_SKIN,Стандартний
TID_GOLD_CAP_HIT,Ліміт жетонів вичерпано.
TID_GATCHA_BUTTON_BOX_STACK_FULL,Досягнута межа кількості ящиків
TID_COOP_1,Парк патінко
TID_GAME_MODE_8,РОБОРУБКА
TID_GAME_MODE_8_DESC,"Захищай сейф від жадібних робобандитів. Що довше протримаєшся, то краща нагорода.\n\nРоботи наступають зусібіч, і їх кількість поступово зростає. Протримайся якомога довше!"
TID_COOP_INTRO_TEXT,Захищай сейф!
TID_SELECT_EVENT_POPUP_TITLE,Вибрати подію
TID_BARREL_BOT,ДЕРРІЛ
TID_BARREL_BOT_DESC,"Атака з пари дробовиків Дерріла неймовірно потужна. Його Супер — посилена бочка, у якій він котиться вперед, відскакуючи від стін по дорозі!"
TID_BARREL_BOT_WEAPON,ДВІЧІ ПО ДВА
TID_BARREL_BOT_WEAPON_DESC,"Дерріл двічі стріляє з обох двостволок, завдаючи величезної шкоди на короткій дистанції."
TID_BARREL_BOT_ULTI,ВІДКАТ БОЧКИ
TID_BARREL_BOT_ULTI_DESC,"Дерріл мчить у своїй бочці вперед, відкидаючи в боки ворогів і відскакуючи від стін. Його Супер заряджається з плином часу!"
TID_ARTILLERY_DUDE,ПЕННІ
TID_ARTILLERY_DUDE_DESC,"Пенні стріляє мішечками з монетами. Вони завдають шкоди цілі та будь-кому, хто перебуває за нею. Її Супер — броневежа-мортира!"
TID_ARTILLERY_DUDE_WEAPON,МУШКЕТОН
TID_ARTILLERY_DUDE_WEAPON_DESC,"Стріляє мішечком фальшивого золота. Зачепивши ворога, мішечок рветься й обсипає монетами тих, хто перебуває позаду."
TID_ARTILLERY_DUDE_ULTI,СТАРИЙ ПРОЙДИСВІТ
TID_ARTILLERY_DUDE_ULTI_DESC,"Пенні встановлює гармату, яка дістає ворогів на великій дистанції, навіть якщо вони в укритті."
TID_ITEM_NAME_SPECIAL,ЗОРЯНА СИЛА
TID_HERO_INFO_ITEM_LOCKED,Можна знайти після отримання <LEVEL>-го рівня.
TID_HERO_INFO_LOCKED_INFO,"Бійця можна розблокувати, знайшовши його в ящику."
TID_HERO_INFO_LOCKED_INFO_RANK_TRACK,"Щоб розблокувати, збери <SCORE> трофеїв"
TID_SPEC_ABI_FREEZE,Контузія
TID_SPEC_ABI_BERSERKER,Берсерк
TID_SPEC_SELF_DESTRUCT,Помста
TID_SPEC_ABI_CACTUS_HEAL,Добриво
TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK,Ліки
TID_SPEC_ABI_REPAIR_TURRET,Підзарядка
TID_SPEC_ABI_PET_LIFESTEAL,Ведмежа послуга
TID_SPEC_ABI_STEAL_SOULS,Моторошна жнива
TID_SPEC_ABI_SPOT,Ширяючий орел
TID_SPEC_ABI_AMBUSH,Засідка
TID_SPEC_ABI_BLACK_HOLE_MONSTER,Чорний портал
TID_SPEC_ABI_SPEED,Модні чоботи
TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK,Мамина турбота
TID_SPEC_BOUNCED_BULLETS_STRONGER,Супервідскік
TID_SPEC_ABI_FIRE_DOT_ULTI,Ель Фуего
TID_SPEC_LAST_STAND,Лебедина пісня
TID_SPEC_BURN,Палій
TID_SPEC_CRIPPLE,Смертельна отрута
TID_SPEC_ABI_BARREL_DEFENSE,Сталеві обручі
TID_SPEC_HEAL_MAIN_ATTACK,Да-капо!
TID_SPEC_ABI_FREEZE_DESC,Супер Шеллі контузить і сповільнює ворогів на <c00cc00><VALUE1></c> с.
TID_SPEC_ABI_PREY_ON_THE_WEAK_DESC,"Атака та Супер Ворона завдають <c00cc00><VALUE2></c> очок додаткової шкоди бійцям, рівень здоров'я яких не вище ніж <VALUE1> %."
TID_SPEC_ABI_BERSERKER_DESC,"Коли здоров'я Булла стає менше ніж <c00cc00><VALUE1> %,</c> його швидкість перезарядки збільшується вдвічі!"
TID_SPEC_SELF_DESTRUCT_DESC,"Полігши в бою, Динамайк кидає 6 динамітних шашок, кожна з яких завдає <c00cc00><VALUE1></c> очок шкоди."
TID_SPEC_ABI_CACTUS_HEAL_DESC,"Використовуючи Супер і перебуваючи в зоні його дії, Спайк відновлює <c00cc00><VALUE1></c> очок здоров'я за секунду."
TID_SPEC_ABI_HEAL_SELF_MAIN_ATTACK_DESC,Барлі відновлює <c00cc00><VALUE1></c> очок здоров'я з кожною атакою.
TID_SPEC_ABI_REPAIR_TURRET_DESC,"Вистріливши по турелі, Джессі відновлює їй <c00cc00><VALUE1></c> очок здоров'я."
TID_SPEC_ABI_PET_LIFESTEAL_DESC,"Ніта відновлює <c00cc00><VALUE1></c> очок здоров'я, коли її ведмідь завдає шкоди ворогу. Коли Ніта завдає шкоди, її ведмідь відновлює <c00cc00><VALUE2></c> очок здоров'я."
TID_SPEC_ABI_STEAL_SOULS_DESC,"Мортис збирає життєву енергію повержених їм ворогів, що відновлює <c00cc00><VALUE1></c> очок його здоров'я."
TID_SPEC_SPOT_FROM_AIR_DESC,"Використовуючи Супер, Пайпер може з повітря розгледіти ворогів, які ховаються в кущах."
TID_SPEC_HEAL_MAIN_ATTACK_DESC,"Якщо товариші по команді потрапляють у радіус дії атаки Поко, то відновлюють <c00cc00><VALUE1></c> очок здоров'я."
TID_SPEC_ABI_SPOT_DESC,"Бо бачить ворогів, що ховаються в кущах, з відстані на <c00cc00><VALUE1> %</c> більше ніж звичайна."
TID_SPEC_ABI_AMBUSH_DESC,"Атаки Пайпер завдають <c00cc00><VALUE1></c> очок додаткової шкоди на максимальній дистанції, коли вона ховається в кущах."
TID_SPEC_ABI_BLACK_HOLE_MONSTER_DESC,"Супер Тари відчиняє просторовий портал, з якого з'являється готовий до бою з ворогами тіньовий клон Тари."
TID_SPEC_ABI_TODO_DESC,Особлива здатність не визначена
TID_SPEC_ABI_SPEED_DESC,Кольт рухається на <c00cc00><VALUE1> %</c> швидше ніж звичайно.
TID_SPEC_ABI_PUSHBACK_SELF_DESC,"Динамайк може перенестися через перешкоду, осідлавши вибухову хвилю!"
TID_SPEC_ABI_HEAL_OTHERS_MAIN_ATTACK_DESC,З кожним поривом бурі брухту Пем відновлює собі та своїм товаришам <c00cc00><VALUE1></c> очок здоров'я.
TID_SPEC_BOUNCED_BULLETS_STRONGER_DESC,Під час атаки чи використання Супера кулі Ріко набирають енергію після першого відскоку та завдають <c00cc00><VALUE1></c> очок додаткової шкоди!
TID_SPEC_ABI_FIRE_DOT_ULTI_DESC,"Вороги, зачеплені Супером Ель Прімо, отримують <c00cc00><VALUE1></c> очок пошкодження від вогню протягом 4-х секунд."
TID_SPEC_LAST_STAND_DESC,"Перед тим, як зникнути, Поко виконує свою лебедину пісню. Соратники, що перебувають поруч, відновлюють <c00cc00><VALUE1></c> очок здоров'я!"
TID_SPEC_BURN_DESC,"Після атаки Брока земля продовжує горіти. Вороги, що перебувають у вогні, отримують <c00cc00><VALUE1></c> очок шкоди за секунду! Ефект триває 2 секунди."
TID_SPEC_ABI_BARREL_DEFENSE_DESC,Супер Дерріла підсилює його бочку та зменшує всю завдану йому шкоду на <c00cc00><VALUE2> %</c> на <c00cc00><VALUE1></c> с.
TID_SPEC_CRIPPLE_DESC,"Отрута Ворона послаблює ворогів. Поки діє отрута, вони завдають на <c00cc00><VALUE1> %</c> менше шкоди."
TID_SEASON_ENDED_NOTI,Сезон закінчився! Нагорода сезону чекає на тебе.
TID_BATTLE_ROYALE_7,Подвійна проблема
TID_GAME_MODE_9,ПАРНЕ ЗІТКНЕННЯ
TID_GAME_MODE_9_COMBINED,ЗІТКНЕННЯ
TID_GAME_MODE_9_DESC,"Переможи чотири інші команди. Полеглий боєць зможе через деякий час відродитися, якщо його товариш по команді буде все ще живий."
TID_WAVE_APPROACHING,Хвиля <number>
TID_TEAMS_LEFT,Залишилося команд: <num>
TID_TEAM_MATE_RESPAWNING,Напарник повернеться через <num>
TID_BOSS_APPROACHING,Хвиля <number>: <ccc0000>наближається великий робот!</c>
TID_COOP_2,Сталеве перехрестя
TID_BOSS_2,Зал Кротячого Короля
TID_BEAR_DAMAGE,Пошкодження ведмедя
TID_BEAR_HEALTH,Здоров'я ведмедя
TID_EVENT_POPUP_GMV_LABEL_BATTLE_ROYALE_TEAM,Команди по двоє
TID_SPEC_ABI_PUSHBACK_SELF,Династрибок
TID_VIEW_PROFILE_BUTTON,Подивитися профіль
TID_REPORT_PLAYER_BUTTON,ПОСКАРЖИТИСЯ
TID_CHAT_REPORT_CONFIRMATION_TITLE,Поскаржитися на гравця <name>?
TID_CHAT_REPORT_CONFIRMATION,\n\nТочно хочеш повідомити про неприйнятну поведінку гравця <name>?
TID_PLAYER_ALREADY_REPORTED,Скарга на гравця була вже відправлена!
TID_STARTER_PACK_4,Набір 35-го рівня
TID_NEED_HERO,Неможливо купити скін. Боєць ще не розблокований.
TID_EVENT_ENDING,<GAMEMODE> незабаром закінчиться!
TID_TEAM_DISPLAY_TITLE_CLAN,КОМАНДИ КЛУБУ
TID_TEAM_DISPLAY_TITLE_FRIENDS,КОМАНДИ ДРУЗІВ
TID_TICKETS_REVEIVED,Отримані квитки подій (<AMOUNT>)!
TID_TUTORIAL_12,"КРИСТАЛИ в нас, пора на вихід!"
TID_NO_TARGET_HINT,"Немає цілей, по яких можна відкрити ШВИДКИЙ ВОГОНЬ!"
TID_CAN_NOT_AUTOSHOOT,У цього Супера немає режиму ШВИДКОГО ВОГНЮ.
TID_VS,ПРОТИ
TID_VS_SHOWDOWN,Кожен сам за себе!
TID_HAS_LASER_BALL_HINT,З м'ячем відкрити ШВИДКИЙ ВОГОНЬ неможливо.
TID_CLAN_RESPONSE_44,Вступити не вдалося: ти вже в клубі
TID_SHOTGUN_GIRL_SHORT_DESC,ВОЇН
TID_GUNSLINGER_SHORT_DESC,СТРІЛЕЦЬ
TID_BULL_DUDE_SHORT_DESC,ВАЖКОВАГОВИК
TID_ROCKET_GIRL_SHORT_DESC,СТРІЛЕЦЬ
TID_TNT_DUDE_SHORT_DESC,МЕТАЛЬНИК
TID_LUCHADOR_SHORT_DESC,ВАЖКОВАГОВИК
TID_TRICKSHOT_DUDE_SHORT_DESC,СТРІЛЕЦЬ
TID_CACTUS_SHORT_DESC,СТРІЛЕЦЬ
TID_BARKEEP_SHORT_DESC,МЕТАЛЬНИК
TID_MECHANIC_SHORT_DESC,ВОЇН
TID_SHAMAN_SHORT_DESC,ВОЇН
TID_UNDERTAKER_SHORT_DESC,БЛИСКАВИЧНИЙ УБИВЦЯ
TID_CROW_SHORT_DESC,ВБИВЦЯ З ОТРУТОЮ
TID_DEAD_MARIACHI_SHORT_DESC,ЛІКАР
TID_BOW_DUDE_SHORT_DESC,ВОЇН
TID_SNIPER_SHORT_DESC,СТРІЛЕЦЬ
TID_MINIGUN_DUDE_SHORT_DESC,ЛІКАР
TID_BLACK_HOLE_SHORT_DESC,ПРОВОКАТОР
TID_BARREL_BOT_SHORT_DESC,ВАЖКОВАГОВИК
TID_CLAN_INTRO_SUGGESTED_CLANS,НАЙКРАЩІ КЛУБИ ДЛЯ ТЕБЕ
TID_CLAN_INTRO_CREATE_TITLE,ЧОМУ Б НЕ СТВОРИТИ СВІЙ?
TID_CLAN_INTRO_HEADER,КЛУБИ
TID_CLAN_INFO_TITLE,ІНФОРМАЦІЯ ПРО КЛУБ
TID_CLAN_INFO_NO_DESCRIPTION,ОПИС КЛУБУ ВІДСУТНІЙ
TID_EVENT_POPUP_TITLE,ПОРА В БІЙ!
TID_GOLDRUSH_8,Сапфірова рівнина
TID_BRAWL_BOX_INFO_CATEGORIES,\n\n<CATEGORY1>: <NUM1> %\nРідкісний боєць: <NUM2> %<GAR_HERO_1>\nНадрідкісний боєць: <NUM3> %<GAR_HERO_2>\nЕпічний боєць: <NUM4> %<GAR_HERO_3>\nМіфічний боєць: <NUM5> %<GAR_HERO_4>\nЛегендарний боєць: <NUM6> %<GAR_HERO_5>\nЗоряна сила: <NUM7> %<GAR_STAR_POWER>
TID_BRAWL_BOX_INFO_FOOTER,"\n\На додачу до цього шанс отримання квитків подій становить 25 %, кристалів — 9 % і подвоювача жетонів — 3 %. Пам'ятай, що зоряну силу можуть отримати тільки бійці, що досягли 9-го рівня. Коли нагороди певного типу (наприклад, рідкісні бійці) закінчаться, шанси отримання інших нагород зростуть. Удача: щоб відкривання ящиків було справедливим, отримання легендарних бійців ґрунтується на принципі удачі. Кожен відкритий ящик, у якому не було нового бійця, збільшує твою удачу, а кожен отриманий із ящика боєць зменшує її відповідно до рідкості отриманого бійця. Що більше удача, то вище шанси отримати легендарного бійця, а що вона менше, то складніше отримати легендарного бійця. Наповнення ящиків на початку гри зумовлено, щоб усі були в рівних умовах."
TID_BRAWL_BOX_INFO_POWER_POINTS_AND_COINS,Очки сили та монети
TID_BRAWL_BOX_INFO_COINS,Монети
TID_BRAWL_BOX_INFO_GUARANTEED_HERO_IN,(спроб відкривання до гарантованого отримання: <DRAWS>)
TID_BRAWL_BOX_INFO_GUARANTEED_STARPOWER_IN,(спроб відкривання до гарантованого отримання: <DRAWS>)
TID_USE_AUTOFIRE_TUTORIAL,"НАТИСНИ на <ccc0033>червоний джойстик</c>, щоб вистрілити по найближчому ворогу!"
TID_BRAWL_BOX_INFO_2,"У ящику може бути або новий боєць, або очки сили з монетами, або зоряна сила. На додачу можна отримати бонус: подвоювач жетонів чи квитки подій.\n\nШанси отримання нагород:"
TID_POWER_DROP_VALUE,+<VALUE>
TID_COLLECT,ЗАБРАТИ
TID_PAGE_FRIENDS_ADD_FRIENDS,ДОДАТИ ДРУЗІВ
TID_PAGE_FRIENDS_TITLE,ДРУЗІ
TID_PAGE_FRIENDS_TITLE2,Бийся разом із друзями!
TID_PAGE_FRIENDS_NO_FRIENDS_NO_LOGIN,"Під'єднайся до Facebook чи знайди друзів у грі, щоб грати разом!"
TID_PAGE_FRIENDS_NO_FRIENDS,"Під'єднайся до Facebook чи знайди друзів у грі, щоб грати разом!"
TID_FRIENDS_TITLE,Друзів: <COUNT>
TID_FRIENDS_TAB_1,ДРУЗІ
TID_FRIENDS_TAB_2,МОЖЛИВІ
TID_FRIENDS_TAB_3,ЗАПИТИ
TID_TOTAL,ВСЬОГО
TID_BRAWL_BOX_INFO_TITLE_2,ВІДОМОСТІ ПРО ЯЩИК
TID_BRAWL_BOX_INFO_TITLE_3,ВІДОМОСТІ ПРО МЕГАЯЩИК
TID_BRAWL_BOX_INFO_3,"Відкривання мегаящика дорівнює відкриванню 10 ящиків, але очки сили за такої умови розподіляються між меншою кількістю бійців.\n\nШанси отримання нагород у кожній із десяти спроб відкривання випадкового ящика:"
TID_HERO_BUNDLE_0,Сховок Шеллі
TID_HERO_BUNDLE_1,Кобура Кольта
TID_HERO_BUNDLE_2,Сумка Булла
TID_HERO_BUNDLE_3,Ящик Брока
TID_HERO_BUNDLE_4,Банк Ріко
TID_HERO_BUNDLE_5,Комора Спайка
TID_HERO_BUNDLE_6,Комірчина Барлі
TID_HERO_BUNDLE_7,Завали Джессі
TID_HERO_BUNDLE_8,Лігво Ніти
TID_HERO_BUNDLE_9,Ранець Динамайка
TID_HERO_BUNDLE_10,Шафка Ель Прімо
TID_HERO_BUNDLE_11,Вбивча пропозиція
TID_HERO_BUNDLE_12,Колекція Ворона
TID_HERO_BUNDLE_13,Капшук Поко
TID_HERO_BUNDLE_14,Спорядження Бо
TID_HERO_BUNDLE_15,Сумочка Пайпер
TID_HERO_BUNDLE_16,Кошіль Пем
TID_HERO_BUNDLE_17,Скриня Тари
TID_HERO_BUNDLE_18,Бочка Дерріла
TID_OFFER_ALSO_INCLUDES,ПРОПОЗИЦІЯ ТАКОЖ ВКЛЮЧАЄ
TID_OFFER_VALUE_TITLE,ВИГОДА
TID_OFFER_VALUE,+<VALUE> %
TID_SHOP_OFFER_COUNTDOWN,<TIME>
TID_USE_ULTI_TUTORIAL,ЗАТИСНИ ТА ПОТЯГНИ <cff9900>жовтий джойстик</c> для прицілювання!
TID_HERO_STATS_TITLE,ПОКАЗНИКИ БІЙЦЯ
TID_GATCHA_SCREEN_ITEMS_REMAINING,ЗАЛИШИЛОСЯ ПРЕДМЕТІВ:
TID_GATCHA_SCREEN_BONUS_ITEMS_REMAINING,ЗАЛИШИЛОСЯ БОНУСІВ:
TID_GATCHA_SCREEN_YOU_GOT,ОТРИМАНО:
TID_GATCHA_SCREEN_BONUSES,БОНУСНІ ПРЕДМЕТИ:
TID_GATCHA_SCREEN_SUMMARY_UNLOCKED,РОЗБЛОКОВАНО!
TID_HERO_LIST_ITEM_UPGRADE,ПОЛІПШИТИ
TID_SHOP_CLAMIMED,Отримано
TID_SHOP_OFFER_PURCHASE_ERROR_CLAIMED,Цей предмет уже був отриманий
TID_ONLINE,У МЕРЕЖІ
TID_LEADERBOARD,СПИСОК ЛІДЕРІВ
TID_NOT_ENOUGH_TICKETS_INFO,"\n\nКвитки закінчилися. Заглянь у крамницю, щоб купити ще!"
TID_HERO_LIST_NEW,НОВИЙ
TID_HAMMER_DUDE,ФРЕНК
TID_HOLD_PHONE_LIKE_THIS,ТРИМАЙ СВІЙ ПРИСТРІЙ ОСЬ ТАК
TID_HINT_FINGER_TAP_TAP,ТИСНИ! ТИСНИ!
TID_HINT_FINGER_DRAG,"ЗАТИСНИ ТА ПОТЯГНИ, ЩОБ ПРИЦІЛИТИСЯ"
TID_MOVE_HERE,Іди сюди
TID_HINT_HEADER,ПОРАДА:
TID_HINT_0,"Щоб відкрити ШВИДКИЙ ВОГОНЬ по найближчому ворогу, НАТИСНИ на <ccc0033>червоний джойстик.</c>"
TID_HINT_1,"Щоб відкрити ШВИДКИЙ ВОГОНЬ по найближчому ворогу в режимі Супера, НАТИСНИ на <cff9900>жовтий джойстик.</c>"
TID_HINT_2,"Щоб ПРИЦІЛИТИСЯ, ЗАТИСНИ ТА ПОТЯГНИ <ccc0033>червоний джойстик</c>."
TID_HINT_3,"Щоб НАВЕСТИ Супер НА ЦІЛЬ, ЗАТИСНИ ТА ПОТЯГНИ <cff9900>жовтий джойстик.</c>"
TID_HINT_4,"Щоб скасувати наведення на ціль, поверни джойстик у початкове положення."
TID_HINT_5,"Збирати трофеї щойно розблокованим бійцем легко, тому що підбір супротивників ґрунтується на кількості трофеїв бійця, за якого ти граєш."
TID_HINT_6,"Що більше в тебе бійців, то простіше збирати трофеї та отримувати нагороди."
TID_HINT_7,"Що далі ціль, то більше шкоди завдають постріли Пайпер."
TID_HINT_8,"Кинуті Барлі пляшки приземляються недалеко, тому його Супер особливо ефективний на короткій дистанції."
TID_HINT_9,"Відскакуючи, кулі Ріко пролітають більшу відстань."
TID_HINT_10,Активувати <ccc0033>червоний джойстик</c> для стрільби можна в будь-якому місці на правому боці екрану.
TID_HINT_11,"І в основної атаки, і в Супера є два режими: НАТИСНИ, щоб відкрити ШВИДКИЙ ВОГОНЬ, або ЗАТИСНИ ТА ПОТЯГНИ, щоб ПРИЦІЛИТИСЯ."
TID_HINT_12,У режимі прицілювання легше вести рухому ціль.
TID_HINT_13,"ШВИДКИЙ ВОГОНЬ стане в нагоді, коли немає часу на прицілювання."
TID_HINT_14,ШВИДКИЙ ВОГОНЬ особливо ефективний на короткій дистанції.
TID_HINT_15,"Вороги можуть виявити бійця, який ховається в кущах, якщо підійдуть достатньо близько."
TID_HINT_16,"ШВИДКИЙ ВОГОНЬ ведеться в бік найближчого ворога, але його пересування до уваги не береться."
TID_HINT_17,"За допомогою прицільного пострілу можна перевірити, чи не ховається в кущах ворог."
TID_HINT_18,ШВИДКИЙ ВОГОНЬ особливо хороший під час атаки на нерухому ціль.
TID_HINT_19,"ШВИДКИЙ ВОГОНЬ особливо хороший під час атаки на ворогів, які рухаються прямо на чи від тебе."
TID_HINT_20,"Коли ти атакуєш чи отримуєш пошкодження, перебуваючи в кущах, вороги можуть тебе бачити."
TID_HINT_21,У кущах можна ховатися від ворогів.
TID_HINT_22,"У режимі ШВИДКОГО ВОГНЮ постріл робиться, навіть якщо в зоні ураження немає ворогів."
TID_VS_TUTORIAL,Збери всі <ce662f9>КРИСТАЛИ</c>
TID_USE_MANUAL_FIRE_TUTORIAL,"ЗАТИСНИ ТА ПОТЯГНИ <ccc0033>червоний джойстик,</c> щоб прицілитися!"
TID_TUTORIAL_GOOD_JOB_2,"Відмінно! <cff6633>ПОМАРАНЧЕВІ СМУЖКИ</c> відображають кількість твоїх боєприпасів. Перезаряджатиму так швидко, як зможу!"
TID_TUTORIAL_GOOD_JOB_3,Молодчина! Атака ворогів заряджає твою <cff9900>СУПЕРАТАКУ</c>!
TID_TUTORIAL_GOOD_JOB_4,Відмінно спрацьовано!
TID_SPECTATE_PLAYER_BUTTON,Спостерігати
TID_SPECTATE_FAILED,Поспостерігати не вийшло
TID_ACCOUNT_DISABLED_TEXT,Обліковий запис відключений
TID_ACCOUNT_DELETED_ON_REQUEST_TEXT,Цей обліковий запис відключений після запиту на видалення та не може бути відновлений.
TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT,Цей обліковий запис відключений у зв'язку з неактивністю та не може бути відновлений.
TID_ACCOUNT_DELETION_WARNING_TITLE,Попередження про видалення облікового запису
TID_ACCOUNT_DELETION_WARNING_TEXT,"Відповідно до вашого запиту ваш обліковий запис незабаром буде деактивований. Якщо ви передумали, зверніться до розділу «Допомога та підтримка» для скасування запиту якомога швидше."
TID_ACCOUNT_DELETION_WARNING_TEXT_PAST,"Відповідно до вашого запиту ваш обліковий запис незабаром буде деактивований. Якщо ви передумали, зверніться до розділу «Допомога та підтримка» для скасування запиту якомога швидше."
TID_CLAN_JOIN_FAILED_ALREADY_IN_THIS_CLAN,Ти вже перебуваєш у цьому клубі!
TID_CONFIRM_CHANGE_CLAN_TITLE,Змінити клуб?
TID_CONFIRM_CHANGE_CLAN,Ти вже в клубі! Точно хочеш змінити його?
TID_CONFIRM_CLAN_FULL_TITLE,У клубі немає місць!
TID_CONFIRM_CLAN_FULL,"<clan>: неможливо вступити в цей клуб, там немає місць!"
TID_BUTTON_CHANGE,Змінити
